자치구,동,0-12세(어린이),65-100이상(노인),장애인수,동별보행취약계층인구수,총인구,보행취약계층비율,area/Dong,시설개수,시설비율,slope_p
영등포구,신길4동,1106,2190,609,3634.333333,12283,0.295883199,0,16,0.001311153,5
영등포구,신길3동,1474,3034,845,4977.444444,16721,0.297676242,0.0103631,26,0.002130624,5
영등포구,신길1동,792,3180,828,4432,17239,0.257091479,0.0001808,16,0.001311153,2
금천구,시흥5동,1281,4284,1202,6232.777778,19497,0.319678811,0.0215041,36,0.002950094,3
금천구,시흥4동,1477,4010,1112,6104.777778,20604,0.296290904,9.30E-06,30,0.002458412,3
금천구,시흥3동,709,2299,564,3321.333333,10950,0.303318113,0,13,0.001065312,3
금천구,시흥2동,2152,3932,1142,6718.444444,21550,0.311760763,0.0227035,37,0.003032041,6
금천구,시흥1동,2361,6016,1660,9299.222222,33246,0.279709506,0.0205373,61,0.004998771,1
종로구,숭인2동,334,1594,436,2170.222222,9542,0.227438925,0.0013275,10,0.000819471,1
종로구,숭인1동,365,1199,292,1726.222222,6041,0.285751071,0.0238113,5,0.000409735,6
강북구,수유3동,1053,4564,1110,6233.666667,23276,0.267815203,0.0036502,27,0.002212571,1
강북구,수유2동,1407,4749,1101,6767.666667,21441,0.315641372,0.0289406,32,0.002622306,1
강북구,수유1동,1374,4343,1296,6437,20963,0.307064829,0.0129206,31,0.002540359,3
강남구,수서동,740,4483,2150,6417.444444,15049,0.426436603,0,25,0.002048677,3
은평구,수색동,858,2042,564,3213.333333,11230,0.28613832,0,12,0.000983365,1
구로구,수궁동,1949,4303,1252,6947.555556,23828,0.291571074,0.0011045,33,0.002704253,3
송파구,송파2동,2069,2798,523,5157.555556,19772,0.260851485,0.0090572,20,0.001638941,6
송파구,송파1동,1547,3393,695,5326.111111,24506,0.217339064,0.0156113,30,0.002458412,5
강북구,송천동,1404,6063,1541,8323.111111,27040,0.307807364,0,35,0.002868147,6
강북구,송중동,2077,5873,1433,8746.111111,29933,0.292189594,0,30,0.002458412,6
성동구,송정동,636,1753,522,2679,10633,0.251951472,0,11,0.000901418,0
중구,소공동,194,256,29,466.1111111,2143,0.217504018,0,11,0.000901418,5
강남구,세곡동,6001,6377,1967,13470.77778,43973,0.306342023,0,71,0.005818241,1
관악구,성현동,2783,5241,1429,8817.888889,29848,0.295426457,0,36,0.002950094,6
성동구,성수2가3동,736,1889,426,2861.666667,11124,0.257251588,0.0055926,19,0.001556994,1
성동구,성수2가1동,1025,2868,807,4341.333333,16381,0.265022485,2.23E-05,18,0.001475047,1
성동구,성수1가2동,976,1910,487,3156.555556,13191,0.239296153,0.0019415,18,0.001475047,1
성동구,성수1가1동,1295,2278,585,3898,16869,0.231074753,0.0021761,26,0.002130624,1
마포구,성산2동,3369,6115,2010,10600.66667,39978,0.265162506,0.0045591,60,0.004916824,1
마포구,성산1동,1312,2889,678,4577.666667,19134,0.239242535,0.0512272,30,0.002458412,2
성북구,성북동,1052,3062,575,4433.444444,16711,0.265300966,0,25,0.002048677,6
강동구,성내3동,1673,3707,886,5872.222222,23364,0.251336339,0.0076883,23,0.001884782,1
강동구,성내2동,1380,4234,1053,6199,24057,0.257679677,0.0222787,18,0.001475047,2
강동구,성내1동,2064,2985,662,5416.777778,20191,0.268276845,0.0371083,34,0.0027862,1
송파구,석촌동,2037,4430,1019,7033.111111,32095,0.219134168,0.0167463,35,0.002868147,2
성북구,석관동,2550,6925,1771,10458.88889,35298,0.296302592,0,42,0.003441777,1
서초구,서초4동,4337,4090,475,8690.888889,31241,0.278188563,0.0057057,28,0.002294518,6
서초구,서초3동,2448,4679,731,7533.111111,32128,0.234471835,0,26,0.002130624,2
서초구,서초2동,2510,2631,369,5346,22083,0.242086673,0,19,0.001556994,2
서초구,서초1동,2071,2991,488,5333.111111,20801,0.256387246,0,32,0.002622306,2
관악구,서원동,858,3238,804,4542.666667,22648,0.200576946,0,11,0.000901418,3
용산구,서빙고동,1146,2067,380,3424.111111,13105,0.261282801,0.0027798,17,0.0013931,1
관악구,서림동,1061,3452,872,4997.444444,23497,0.212684362,0.0128861,26,0.002130624,3
마포구,서교동,1085,3333,686,4799.111111,25034,0.191703727,0.0002065,24,0.001966729,2
마포구,서강동,2347,3130,669,5848.666667,24868,0.235188462,0,24,0.001966729,0
강동구,상일동,6392,4070,926,10976.44444,37880,0.289768861,0.0012535,33,0.002704253,3
마포구,상암동,3738,3854,1137,8223.666667,30905,0.266095022,0,41,0.00335983,1
중랑구,상봉2동,948,2988,835,4399.888889,20113,0.218758459,0.01574,23,0.001884782,1
중랑구,상봉1동,2406,3671,1400,6854.777778,24639,0.278208441,0.001082,27,0.002212571,2
동작구,상도4동,2165,4928,1293,7811.333333,28792,0.271302214,0.0021256,42,0.003441777,2
동작구,상도3동,1623,4315,1134,6568,24809,0.264742634,0,26,0.002130624,6
동작구,상도2동,3005,4433,976,7980.222222,28535,0.27966435,0.0076779,34,0.0027862,2
동작구,상도1동,3721,6891,1493,11441.44444,44621,0.256413896,0,34,0.0027862,2
노원구,상계9동,1870,3375,760,5667.222222,20862,0.271652872,0.0001891,33,0.002704253,6
노원구,상계8동,2960,2822,711,6177,22740,0.271635884,0.0002898,54,0.004425141,1
노원구,상계6·7동,3210,4941,1282,8863.222222,33125,0.267568973,0,70,0.005736294,1
노원구,상계5동,1573,4936,1312,7237.888889,24375,0.296939031,0.0067255,44,0.003605671,6
노원구,상계3·4동,1908,6080,1647,8903,26842,0.331681693,0,50,0.004097353,4
노원구,상계2동,1373,3275,891,5143,20304,0.253299842,0.1317005,52,0.004261247,1
노원구,상계1동,3171,6837,1906,11066.88889,38725,0.285781508,0.0060423,78,0.006391871,4
노원구,상계10동,1695,2574,538,4567.888889,18596,0.24563825,0.0003404,23,0.001884782,1
종로구,삼청동,158,615,110,834.1111111,2530,0.329688186,0.0036754,5,0.000409735,1
송파구,삼전동,2087,3953,935,6559.444444,31059,0.211193034,0.0360585,37,0.003032041,1
강북구,삼양동,1716,4816,1376,7296.444444,24196,0.301555813,0.0028434,40,0.003277882,6
관악구,삼성동,1215,5604,1542,7675.666667,23079,0.33258229,0.0018568,24,0.001966729,3
강남구,삼성2동,3402,3361,544,7065.222222,29806,0.237040268,0,24,0.001966729,2
강남구,삼성1동,1159,2088,289,3407.555556,13183,0.25848104,0,23,0.001884782,6
성북구,삼선동,1584,3861,860,5922.777778,23153,0.255810382,0,23,0.001884782,6
강북구,삼각산동,4126,4295,1246,9113.222222,31503,0.289281091,0,27,0.002212571,6
종로구,사직동,770,1815,284,2742.777778,9543,0.28741253,0,20,0.001638941,1
동작구,사당5동,1343,2252,528,3888.333333,14614,0.266069066,0.0115832,17,0.0013931,3
동작구,사당4동,907,2632,576,3859,14279,0.270257021,0,14,0.001147259,2
동작구,사당3동,2610,4364,766,7399.555556,24835,0.297948684,0,18,0.001475047,6
동작구,사당2동,2211,5282,914,8000.777778,27024,0.296061937,0,24,0.001966729,6
동작구,사당1동,1018,3674,806,5139.777778,22900,0.224444444,0.0054358,18,0.001475047,2
성동구,사근동,540,1499,383,2251.777778,11956,0.188338723,0,15,0.001229206,6
은평구,불광2동,1471,5903,1472,8191.777778,28161,0.29089087,0.0203585,44,0.003605671,3
은평구,불광1동,3015,7594,1701,11554,39168,0.294985703,0,44,0.003605671,4
서대문구,북아현동,1747,2217,573,4282.333333,16366,0.261660353,0,26,0.002130624,1
서대문구,북가좌2동,2225,6257,1613,9378.111111,32311,0.290245152,0.0242634,34,0.0027862,5
서대문구,북가좌1동,1997,2914,686,5292.111111,18330,0.288713099,0.0026737,14,0.001147259,5
종로구,부암동,771,1755,317,2702.111111,9819,0.275192088,0,19,0.001556994,6
성북구,보문동,1213,2389,602,3936.444444,15556,0.253049913,0.0344525,24,0.001966729,2
관악구,보라매동,1531,4397,1135,6558.555556,24383,0.268980665,0,27,0.002212571,1
용산구,보광동,625,2761,594,3716,14053,0.264427524,0,15,0.001229206,0
강북구,번3동,1296,4606,2029,7029.222222,17209,0.40846198,0.0069631,18,0.001475047,6
강북구,번2동,914,3938,1354,5604.222222,16213,0.34566226,0.0060847,15,0.001229206,6
강북구,번1동,926,3526,995,5004.777778,18706,0.267549331,0.0212485,35,0.002868147,1
강서구,방화3동,1756,5042,2002,7910.222222,23144,0.341782847,0.0131515,38,0.003113988,0
강서구,방화2동,1578,4697,1604,7166.111111,23215,0.308684519,0.0003524,36,0.002950094,1
강서구,방화1동,5380,6518,1819,12908.55556,43653,0.295708326,0.0113829,62,0.005080718,5
도봉구,방학3동,2687,4904,1040,8168.777778,27592,0.296056023,0.0103872,49,0.004015406,6
도봉구,방학2동,1286,4248,1234,6219.555556,19946,0.311819691,0.0005098,21,0.001720888,2
도봉구,방학1동,2095,5656,1502,8585.444444,28717,0.298967317,0.0383496,51,0.0041793,1
송파구,방이2동,1458,3428,770,5313.777778,26116,0.203468287,0.0312957,32,0.002622306,1
송파구,방이1동,1481,2145,438,3869.333333,16004,0.24177289,0,17,0.0013931,5
서초구,방배본동,2256,3028,460,5539.555556,21008,0.263687907,0.0013997,15,0.001229206,2
서초구,방배4동,2371,3442,593,6142.444444,23633,0.259909637,0.0108438,21,0.001720888,2
서초구,방배3동,1750,3629,555,5687.333333,20529,0.277038985,0.0013677,20,0.001638941,3
서초구,방배2동,1615,3458,681,5451.333333,19954,0.273195015,0.0133704,24,0.001966729,3
서초구,방배1동,1504,2814,479,4584.111111,17062,0.268673726,0.0002733,12,0.000983365,2
강서구,발산1동,4675,4641,1489,10143.22222,36768,0.275870926,0.0011715,64,0.005244612,1
서초구,반포본동,990,1865,183,2956.666667,11467,0.257841342,0,7,0.000573629,0
서초구,반포4동,2292,2829,347,5313.777778,19211,0.27660079,0,19,0.001556994,3
서초구,반포3동,2875,2932,352,6002.555556,22352,0.268546687,0.0097098,20,0.001638941,0
