NTFC_DE,index,SNHO_NO,JSH_NO,BUS_NO,PK,RN,SIG_CD_PK,RDS_MAN_NO_PK,RN_CD,ROAD_BT,ROAD_LT,ROA_CLS_SE,RDS_DPN_SE,SPD_LMT,SOIL_INCLN,SOIL_INCL_,CAR_PER_RD,DNGR_RD,dan_lvl
20100603,20299,0,0,0,11200231,뚝섬로15길,11200,231,4109152,9,95,4,1,30,7-15%,3,0.567354475,0,0
20100603,20301,0,0,0,11200693,서울숲2길,11200,693,4109318,6,72,4,1,30,2-7%,2,0.378236317,0,0
20100603,20304,2,0,0,11200694,무학봉16길,11200,694,4109263,7,76,4,1,30,2-7%,2,0.441275703,0,0.2
20100603,20306,0,0,0,11200695,왕십리로14길,11200,695,4109422,8,71,4,1,30,2-7%,2,0.504315089,0,0
20100701,20308,0,0,0,112001025,둘레15길,11200,1025,4109132,2,28,4,1,30,0-2%,1,0.126078772,0,0.2
20100603,20310,0,0,2,112001026,장터3길,11200,1026,4109516,2,33,4,1,30,0-2%,1,0.126078772,0,0.4
20100603,20312,0,0,0,112001028,송정10길,11200,1028,4109368,3,27,4,1,30,2-7%,2,0.189118158,0,0
20100603,20314,2,0,1,112002043,청계천로10나길,11200,2043,4109525,8,434,4,0,30,2-7%,2,0.504315089,0,0
20100603,20330,0,0,0,11200199,독서당로59가길,11200,199,4109101,5,56,4,1,30,0-2%,1,0.315196931,0,0.6
20100603,20331,0,0,0,11200200,독서당로59가길,11200,200,4109101,5,11,4,2,30,2-7%,2,0.315196931,0,0.6
20100603,20338,49,6,9,112002348,살곶이길,11200,2348,4109304,15,3610,4,0,30,2-7%,2,0.945590792,0,0.8
20100710,20341,0,0,0,112002349,동일로,11200,2349,3000001,7,28595,3,1,50,0-2%,1,0.441275703,20314,0
20100603,20349,0,0,0,112002360,용답19길,11200,2360,4109463,8,193,4,0,30,0-2%,1,0.504315089,0,0
20100603,20355,0,0,0,112002461,아차산로11가길,11200,2461,4109387,5.8,425,4,0,30,7-15%,3,0.36562844,0,0
20100701,20375,0,0,0,112001032,둘레9길,11200,1032,4109146,3,30,4,1,30,0-2%,1,0.189118158,0,0.4
20100603,20378,1,0,0,11200719,금호산10길,11200,719,4109061,22,15,4,1,30,0-2%,1,1.386866495,0,0.8
20100603,20380,0,0,0,11200720,사근동12길,11200,720,4109287,3,12,4,2,30,0-2%,1,0.189118158,0,0.6
20100603,20383,0,0,0,11200723,왕십리로19나길,11200,723,4109429,5,38,4,2,30,2-7%,2,0.315196931,0,0
20100603,20385,0,0,0,11200724,행당로17길,11200,724,4109538,10,94,4,1,30,0-2%,1,0.630393862,0,0.4
