자치구,동,0-12세(어린이),65-100이상(노인),장애인수,동별보행취약계층인구수,총인구,보행취약계층비율
송파구,가락1동,3864,3177,532,7336.555556,27327,0.268472776
송파구,가락2동,3579,4166,929,8261.111111,32786,0.251970692
송파구,문정1동,1705,2919,584,4948.444444,20469,0.241753112
송파구,문정2동,2058,3864,519,6210.333333,29209,0.212617116
송파구,잠실본동,1711,3647,800,5802.444444,28278,0.205192886
송파구,잠실4동,3680,2678,437,6600.777778,21397,0.308490806
송파구,잠실6동,1965,2739,371,4910.111111,16982,0.28913621
송파구,잠실7동,823,2110,211,3050.222222,9747,0.312939594
송파구,잠실2동,5980,3439,569,9735.111111,35585,0.273573447
송파구,잠실3동,4526,5470,691,10379.88889,34802,0.298255528
송파구,장지동,2996,4174,1343,7916.111111,29816,0.265498763
송파구,위례동,6748,2559,841,9774.222222,31987,0.305568582
강동구,강일동,5503,6071,1700,12518.44444,40642,0.308017431
강동구,상일동,6392,4070,926,10976.44444,37880,0.289768861
강동구,명일1동,2749,3866,886,7107.222222,26036,0.272976733
강동구,명일2동,1816,2491,450,4557,17455,0.261071326
강동구,고덕1동,4199,2817,718,7414.888889,25370,0.29226996
강동구,고덕2동,3249,2823,811,6522.555556,22540,0.28937691
강동구,암사2동,1696,2315,514,4296.555556,15343,0.280033602
강동구,암사3동,2652,2537,560,5500.111111,18130,0.303370718
강동구,천호1동,1869,5027,1441,7696.555556,27174,0.283232338
강동구,천호3동,1603,4556,1314,6889,26428,0.260670501
강동구,성내1동,2064,2985,662,5416.777778,20191,0.268276845
강동구,성내2동,1380,4234,1053,6199,24057,0.257679677
강동구,성내3동,1673,3707,886,5872.222222,23364,0.251336339
강동구,둔촌1동,5,32,3,38.66666667,134,0.288557214
강동구,둔촌2동,2276,4054,971,6869.444444,25188,0.272726872
강동구,암사1동,2808,5898,1682,9640.444444,34959,0.275764308
강동구,천호2동,2155,5894,1735,9012.888889,33849,0.266267508
강동구,길동,3248,7687,1995,12043.33333,46160,0.260904102
